target,m,T,k_true,n_clusters,delta,sum_abs_a,bound,actual_error,bound_holds,tightness,pruned_vs_target,full_vs_target
poly_k3,1000,200,3,12,1.918391e+00,23.921317,4.589044e+01,3.009317e+00,1,0.065576,3.007856e+00,1.325207e-02
poly_k3,1000,500,3,11,1.929740e+00,23.913960,4.614773e+01,3.326299e+00,1,0.072079,3.325203e+00,4.959247e-03
poly_k3,1000,1000,3,12,1.909131e+00,23.914922,4.565672e+01,3.638743e+00,1,0.079698,3.637867e+00,2.591276e-03
poly_k3,1000,5000,3,12,1.903801e+00,23.815139,4.533929e+01,3.688955e+00,1,0.081363,3.687793e+00,1.271728e-03
poly_k3,1000,10000,3,12,1.903836e+00,23.806291,4.532327e+01,3.678666e+00,1,0.081165,3.677808e+00,9.109688e-04
poly_k3,1500,200,3,7,2.016596e+00,30.430261,6.136554e+01,8.819485e+00,1,0.143720,8.820190e+00,1.390172e-02
poly_k3,1500,500,3,8,2.015319e+00,30.470296,6.140737e+01,9.054406e+00,1,0.147448,9.056587e+00,5.562911e-03
poly_k3,1500,1000,3,8,2.014921e+00,30.445620,6.134552e+01,9.105418e+00,1,0.148428,9.106882e+00,2.967689e-03
poly_k3,2000,500,3,7,2.082632e+00,32.931336,6.858385e+01,8.423886e+00,1,0.122826,8.424429e+00,4.917673e-03
poly_k3,3500,500,3,4,2.130578e+00,46.625530,9.933933e+01,9.161176e+00,1,0.092221,9.162409e+00,5.306209e-03
poly_k3,5000,500,3,2,2.282442e+00,59.731959,1.363347e+02,2.326455e+00,1,0.017064,2.328696e+00,6.321657e-03
sin_1pi,50,200,1,32,2.716500e-02,13.706655,3.723413e-01,3.624972e-03,1,0.009736,1.791559e-02,1.773695e-02
sin_1pi,50,500,1,31,6.017600e-02,14.419577,8.677125e-01,1.451078e-02,1,0.016723,1.648400e-02,8.560206e-03
sin_1pi,50,1000,1,37,3.459000e-02,14.796458,5.118095e-01,4.762618e-03,1,0.009305,6.619352e-03,4.821890e-03
sin_1pi,50,5000,1,42,1.404400e-02,15.338144,2.154089e-01,1.774583e-03,1,0.008238,1.985711e-03,1.315075e-03
sin_1pi,50,10000,1,44,3.642000e-03,15.463083,5.631655e-02,7.517865e-04,1,0.013349,9.697657e-04,1.145904e-03
sin_1pi,100,200,1,45,8.027400e-02,14.178647,1.138177e+00,6.105236e-03,1,0.005364,1.813030e-02,1.752633e-02
sin_1pi,100,500,1,45,6.938600e-02,14.737685,1.022589e+00,2.855415e-02,1,0.027923,2.931201e-02,7.437787e-03
sin_1pi,100,1000,1,44,7.640100e-02,15.048217,1.149699e+00,2.146426e-02,1,0.018669,2.168518e-02,4.001573e-03
sin_1pi,100,5000,1,53,3.531300e-02,15.442146,5.453085e-01,1.778259e-03,1,0.003261,1.926878e-03,1.013525e-03
sin_1pi,100,10000,1,53,1.846630e-01,15.525264,2.866942e+00,1.043823e-02,1,0.003641,1.050267e-02,7.183167e-04
sin_1pi,250,200,1,22,2.217040e-01,15.195698,3.368947e+00,7.480040e-02,1,0.022203,7.469821e-02,8.054844e-03
sin_1pi,250,500,1,22,2.219060e-01,15.378035,3.412478e+00,3.110920e-02,1,0.009116,3.111403e-02,4.790717e-03
sin_1pi,250,1000,1,20,2.225070e-01,15.461544,3.440302e+00,3.518006e-02,1,0.010226,3.525685e-02,3.209909e-03
